"""class""","""permission""","direction(1=read or dest to src,0=write or src->dest)",channel opened(path),data_type(vehicle)/control_type,备注
"""fd""","""use""",1,fd,fd,
"""dir""","""read""",1,,file_content,
"""dir""","""search""",,,,
"""dir""","""open""",1,file,fd,
"""dir""","""getattr""",1,file_attr,file_attr,
"""dir""","""lock""",,,,
"""dir""","""ioctl""",,,,视具体cmd而定
"""fifo_file""","""write""",0,,file_content,
"""file""","""ioctl""",,,,视具体cmd而定
"""file""","""read""",1,,file_content,
"""file""","""map""",1,file,,"通常与open成对出现，但是也存在{map,read,write,getattr}的情况，此时主体与客体存在type_trasnition关系"
"""file""","""open""",1,file,fd,
"""file""","""getattr""",1,file_attr,file_attr,
"""file""","""lock""",,,,
"""process""","""getattr""",,process,proc_attr,
"""unix_dgram_socket""","""bind""",,socket,,
"""unix_dgram_socket""","""create""",1,socket,socket_fd,
"""unix_dgram_socket""","""setopt""",0,socket_control,socket_opt,
"""process""","""sigkill""",0,proc_control,kill,
"""process""","""signal""",0,proc_control,signal,
"""lnk_file""","""open""",,,,
"""lnk_file""","""map""",,,,
"""lnk_file""","""lock""",,,,
"""lnk_file""","""getattr""",1,file_attr,file_attr,
"""lnk_file""","""read""",1,,file_content,
"""lnk_file""","""ioctl""",,,,
"""unix_stream_socket""","""bind""",,,,
"""unix_stream_socket""","""setopt""",0,socket_control,socket_opt,
"""unix_stream_socket""","""create""",1,socket,socket_fd,
"""process""","""sigstop""",0,proc_control,sigstop,
"""process""","""ptrace""",0,fully_control,,
"""process""","""sigchld""",0,proc_control,sigchld,
"""process""","""getpgid""",1,,process_attr,
"""process""","""transition""",0,fully_control,Fork transition,同时出现表示type_transition
"""process""","""siginh""",,,,
"""process""","""rlimitinh""",,,,
"""binder""","""transfer""",0,,binder_handler,
"""fifo_file""","""append""",0,,file_content,
"""fifo_file""","""read""",1,,file_content,
"""key""","""search""",,,,
"""unix_stream_socket""","""connectto""",0,socket,,
"""unix_stream_socket""","""write""",0,,socket_content,
"""unix_stream_socket""","""read""",1,,socket_content,
"""process""","""share""",,,,只有kernel->init 存在 process_share
"""key""","""setattr""",,,,只有vold-init 和void->kernel 之间存在key:setattr
"""key""","""write""",,,,只有vold-init 和void->kernel 之间存在key:write
"""binder""","""call""",0,binder,parcel,
"""tcp_socket""","""shutdown""",0,socket_control,kill,
"""tcp_socket""","""setopt""",0,socket_control,socket_opt,
"""tcp_socket""","""read""",1,,socket_content,
"""tcp_socket""","""write""",0,,socket_content,
"""tcp_socket""","""getattr""",1,socket_attr,socket_attr,socket_attr -selinux_socket_getsockname，selinux_socket_getpeername
"""tcp_socket""","""getopt""",1,socket_opt,socket_opt,
"""udp_socket""","""setopt""",0,socket_control,socket_opt,
"""udp_socket""","""read""",1,,socket_content,
"""udp_socket""","""write""",0,,,
"""udp_socket""","""getattr""",,,,
"""udp_socket""","""setattr""",,,,
"""udp_socket""","""getopt""",,,,
"""process""","""setsched""",,,,
"""tun_socket""","""setopt""",,,,
