"""entity""","""permission"""
"""relationship""","""getattr"""
"""relationship""","""read"""
"""relationship""","""search"""
"""relationship""","""ioctl"""
"""relationship""","""lock"""
"""relationship""","""map"""
"""relationship""","""open"""
"""relationship""","""append"""
"""relationship""","""write"""
"""relationship""","""siginh"""
"""relationship""","""rlimitinh"""
"""relationship""","""transition"""
"""relationship""","""sigchld"""
"""relationship""","""sendto"""
"""relationship""","""call"""
"""relationship""","""transfer"""
"""relationship""","""execute"""
"""relationship""","""use"""
"""relationship""","""set"""
"""relationship""","""add_name"""
"""relationship""","""connectto"""
"""relationship""","""entrypoint"""
"""relationship""","""getopt"""
"""relationship""","""shutdown"""
"""relationship""","""rename"""
"""relationship""","""unlink"""
"""relationship""","""create"""
"""relationship""","""setattr"""
"""relationship""","""bind"""
"""relationship""","""setopt"""
"""relationship""","""sigkill"""
"""relationship""","""signal"""
"""relationship""","""sigstop"""
"""relationship""","""ptrace"""
"""relationship""","""getpgid"""
"""relationship""","""remove_name"""
"""relationship""","""rmdir"""
"""relationship""","""relabelfrom"""
"""relationship""","""mounton"""
"""relationship""","""relabelto"""
"""relationship""","""syslog_read"""
"""relationship""","""syslog_mod"""
"""relationship""","""reparent"""
"""relationship""","""mount"""
"""relationship""","""remount"""
"""relationship""","""unmount"""
"""relationship""","""associate"""
"""relationship""","""quotamod"""
"""relationship""","""quotaget"""
"""relationship""","""setsched"""
"""relationship""","""compute_create"""
"""relationship""","""compute_av"""
"""relationship""","""share"""
"""relationship""","""execute_no_trans"""
"""relationship""","""add"""
"""relationship""","""find"""
"""relationship""","""module_request"""
"""relationship""","""name_connect"""
"""relationship""","""execmod"""
"""relationship""","""name_bind"""
"""relationship""","""connect"""
"""relationship""","""recvfrom"""
"""relationship""","""node_bind"""
"""relationship""","""verify"""
"""relationship""","""list"""
"""relationship""","""sign"""
"""relationship""","""delete"""
"""relationship""","""exist"""
"""relationship""","""get"""
"""relationship""","""insert"""
"""relationship""","""get_state"""
"""relationship""","""dyntransition"""
"""relationship""","""setpgid"""
"""relationship""","""getsched"""
"""relationship""","""map_read"""
"""relationship""","""link"""
"""relationship""","""password"""
"""relationship""","""reset"""
"""relationship""","""add_auth"""
"""relationship""","""user_changed"""
"""relationship""","""duplicate"""
"""relationship""","""clear_uid"""
"""relationship""","""grant"""
"""relationship""","""is_empty"""
"""relationship""","""unlock"""
"""relationship""","""gen_unique_id"""
"""relationship""","""listen"""
"""relationship""","""accept"""
"""relationship""","""check_context"""
"""relationship""","""read_policy"""
"""relationship""","""noatsecure"""
"""relationship""","""signull"""
"""relationship""","""initializeDecryptUnit"""
"""relationship""","""decrypt"""
"""relationship""","""finalizeDecryptUnit"""
"""relationship""","""pread"""
"""relationship""","""consumeRights"""
"""relationship""","""setPlaybackStatus"""
"""relationship""","""openDecryptSession"""
"""relationship""","""closeDecryptSession"""
"""relationship""","""prog_run"""
"""relationship""","""map_write"""
"""relationship""","""module_load"""
"""relationship""","""use_as_override"""
